"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2025,2025,2025,2025,2025,2025
"행정구역별(1)","특성별(1)",특성별(2),계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족
"강원특별자치도","성별",여자,100.0,1.4,9.9,48.5,30.3,9.9,100.0,1.0,8.9,47.5,33.4,9.2,100.0,2.5,12.2,47.8,28.6,8.9,100.0,2.2,11.2,50.5,29.2,6.9,100.0,1.6,13.0,50.9,25.2,9.3,100.0,3.4,14.7,47.3,27.4,7.3,100.0,3.7,13.7,52.0,24.9,5.6,100.0,3.6,17.1,52.4,22.2,4.8,100.0,3.7,20.0,49.4,19.9,7.0
"충청북도","전체",계,100.0,1.6,10.9,46.8,31.2,9.4,100.0,0.9,9.1,49.7,30.5,9.7,100.0,2.8,12.4,44.4,29.8,10.6,100.0,2.7,12.3,45.7,29.1,10.2,100.0,1.9,13.4,48.7,26.7,9.3,100.0,2.1,13.5,51.3,26.1,7.1,100.0,2.7,15.4,51.8,22.8,7.4,100.0,4.2,18.6,46.3,24.4,6.5,100.0,4.3,20.0,50.3,20.5,4.9
"충청북도","성별",남자,100.0,2.2,10.7,45.9,31.7,9.6,100.0,0.4,8.6,52.0,30.0,9.0,100.0,3.4,11.9,45.1,27.7,12.0,100.0,2.6,13.1,46.1,28.7,9.5,100.0,2.2,13.5,49.3,26.7,8.3,100.0,1.9,14.0,50.7,26.2,7.2,100.0,2.4,15.3,53.1,21.3,7.9,100.0,5.4,17.0,47.4,23.2,7.0,100.0,4.2,20.8,51.2,18.6,5.2
"충청북도","성별",여자,100.0,1.0,11.2,47.7,30.8,9.3,100.0,1.5,9.6,47.4,31.0,10.5,100.0,2.3,12.9,43.7,31.8,9.3,100.0,2.7,11.5,45.4,29.5,11.0,100.0,1.6,13.3,48.2,26.7,10.3,100.0,2.3,12.9,51.9,26.0,7.0,100.0,3.1,15.4,50.4,24.2,6.9,100.0,3.0,20.3,45.1,25.7,5.9,100.0,4.3,19.2,49.3,22.5,4.6
"충청남도","전체",계,100.0,2.3,13.4,46.8,28.5,9.1,100.0,1.5,11.7,46.8,30.6,9.3,100.0,1.8,11.0,50.5,29.4,7.3,100.0,1.5,12.6,51.1,26.0,8.9,100.0,1.9,10.2,53.8,26.1,7.9,100.0,2.1,13.8,51.0,25.2,7.8,100.0,3.1,16.7,54.0,20.7,5.5,100.0,3.7,16.6,52.2,21.1,6.4,100.0,3.8,21.0,51.8,20.3,3.1
"충청남도","성별",남자,100.0,2.1,13.6,47.3,28.8,8.2,100.0,2.2,12.5,46.0,28.7,10.7,100.0,2.3,11.4,50.5,28.7,7.1,100.0,1.1,14.1,51.1,25.7,8.0,100.0,1.8,11.1,55.2,25.0,6.8,100.0,2.0,14.6,52.4,23.2,7.8,100.0,3.3,18.4,53.6,18.6,6.1,100.0,4.0,18.7,51.6,19.4,6.3,100.0,3.6,22.4,51.9,18.7,3.3
"충청남도","성별",여자,100.0,2.4,13.1,46.3,28.2,10.0,100.0,0.9,11.0,47.7,32.6,7.8,100.0,1.3,10.5,50.4,30.2,7.6,100.0,1.9,11.1,51.1,26.2,9.7,100.0,2.0,9.3,52.4,27.2,9.1,100.0,2.3,12.9,49.6,27.3,7.8,100.0,2.9,14.9,54.4,22.9,4.9,100.0,3.4,14.5,52.9,22.8,6.4,100.0,3.9,19.5,51.7,22.0,2.9
"전북특별자치도","전체",계,100.0,1.9,10.6,42.9,34.1,10.4,100.0,1.1,9.5,46.7,33.8,8.9,100.0,1.0,10.6,46.9,31.2,10.3,100.0,1.1,9.2,49.8,28.9,11.0,100.0,1.3,13.5,50.8,26.0,8.3,100.0,2.9,13.4,51.1,27.1,5.5,100.0,3.8,16.3,50.5,24.0,5.4,100.0,3.7,20.0,48.9,21.0,6.5,100.0,3.5,21.8,46.3,22.9,5.5
"전북특별자치도","성별",남자,100.0,2.2,11.7,41.1,34.9,10.0,100.0,0.5,10.1,47.9,31.7,9.8,100.0,0.9,11.0,45.7,33.7,8.6,100.0,1.2,9.2,49.5,28.5,11.6,100.0,1.6,13.4,52.3,23.6,9.1,100.0,3.0,15.1,51.3,26.0,4.7,100.0,4.0,16.4,50.6,23.8,5.2,100.0,3.9,20.0,50.6,18.9,6.6,100.0,3.8,21.9,46.6,22.0,5.7
"전북특별자치도","성별",여자,100.0,1.6,9.6,44.6,33.3,10.9,100.0,1.6,9.0,45.7,35.7,7.9,100.0,1.0,10.3,48.0,28.9,11.8,100.0,1.1,9.3,50.0,29.2,10.4,100.0,1.1,13.7,49.4,28.2,7.5,100.0,2.8,11.8,50.9,28.2,6.2,100.0,3.6,16.3,50.4,24.1,5.6,100.0,3.4,19.9,47.2,23.1,6.3,100.0,3.2,21.8,45.9,23.8,5.3
