"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2023,2025,2025,2025,2025,2025,2025,2025
"행정구역별(1)","특성별(1)",특성별(2),계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족
"대전광역시","전체",계,100.0,68.5,2.6,10.8,39.8,31.2,15.6,100.0,70.4,1.5,10.1,39.1,34.8,14.4,100.0,77.1,1.7,11.2,41.0,34.6,11.5,100.0,79.2,1.8,10.6,43.8,32.4,11.4,100.0,80.7,1.4,12.6,39.2,34.7,12.1,100.0,80.8,1.8,12.8,39.3,36.4,9.7,100.0,84.1,2.4,24.5,32.3,25.7,15.1,100.0,73.9,3.5,26.3,33.6,23.3,13.2,100.0,82.5,3.8,30.5,30.9,24.5,10.2
"대전광역시","성별",남자,100.0,79.9,2.9,11.6,37.7,31.2,16.6,100.0,84.2,1.6,9.5,39.4,34.1,15.5,100.0,91.7,2.2,9.9,41.7,35.0,11.1,100.0,89.6,1.8,10.9,42.8,33.1,11.4,100.0,92.1,1.1,13.6,39.0,34.2,12.0,100.0,90.1,1.7,13.1,40.7,35.1,9.4,100.0,90.7,2.6,25.4,31.9,25.2,15.0,100.0,82.7,4.1,26.6,32.5,23.5,13.3,100.0,85.0,4.2,31.2,31.1,23.9,9.6
"대전광역시","성별",여자,100.0,57.5,2.3,9.9,42.6,31.1,14.2,100.0,57.2,1.4,11.0,38.8,35.9,12.9,100.0,63.0,0.9,13.0,39.9,34.1,12.0,100.0,69.3,1.8,10.2,45.1,31.5,11.4,100.0,69.8,1.8,11.3,39.5,35.2,12.1,100.0,71.7,1.9,12.4,37.6,38.0,10.1,100.0,77.5,2.2,23.4,32.9,26.2,15.3,100.0,65.1,2.7,26.0,35.1,23.1,13.1,100.0,80.2,3.4,29.8,30.7,25.2,10.9
"울산광역시","전체",계,100.0,65.1,1.7,13.3,43.0,28.8,13.2,100.0,68.6,1.5,10.3,42.6,33.5,12.2,100.0,77.5,1.8,10.7,44.1,32.0,11.5,100.0,76.6,1.1,8.5,47.9,31.8,10.7,100.0,78.4,1.5,9.7,44.6,30.5,13.6,100.0,78.5,1.7,11.0,40.9,35.1,11.3,100.0,80.9,4.2,19.9,36.3,23.6,16.0,100.0,73.6,2.8,28.0,27.9,26.0,15.3,100.0,80.1,4.8,28.7,32.6,20.7,13.2
"울산광역시","성별",남자,100.0,82.1,2.0,13.7,44.7,27.0,12.6,100.0,87.7,0.7,10.1,43.4,33.7,12.2,100.0,91.3,1.7,11.2,46.7,29.2,11.3,100.0,90.6,1.4,9.4,47.2,31.4,10.7,100.0,90.1,1.9,9.6,47.4,29.0,12.1,100.0,91.2,2.2,10.7,40.9,34.7,11.5,100.0,90.7,4.6,19.6,33.7,24.9,17.2,100.0,83.2,2.1,30.4,26.2,25.3,15.9,100.0,89.2,5.9,30.9,31.2,20.2,11.9
"울산광역시","성별",여자,100.0,47.7,1.0,12.6,40.2,31.9,14.3,100.0,49.1,2.9,10.7,41.3,33.1,12.1,100.0,62.9,1.9,9.9,40.1,36.3,11.7,100.0,61.8,0.7,7.0,49.1,32.4,10.8,100.0,66.0,1.0,9.8,40.7,32.6,15.9,100.0,65.3,1.1,11.6,40.9,35.6,10.9,100.0,70.7,3.7,20.3,39.8,21.7,14.5,100.0,63.7,3.6,24.8,30.2,26.9,14.4,100.0,70.7,3.4,25.8,34.4,21.4,14.9
"세종특별자치시","전체",계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,80.4,1.7,13.0,44.0,30.3,11.1,100.0,84.5,3.0,16.9,41.0,28.8,10.4,100.0,83.4,2.5,15.1,45.3,29.3,7.8,100.0,84.6,3.4,25.4,36.1,23.1,12.0,100.0,77.7,4.7,26.8,29.5,25.2,13.7,100.0,84.6,4.3,25.9,32.9,22.3,14.7
"세종특별자치시","성별",남자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,89.5,1.4,13.8,41.3,31.6,11.9,100.0,95.8,2.5,19.1,40.5,28.7,9.2,100.0,95.5,2.2,15.6,45.9,29.1,7.2,100.0,92.7,3.6,26.5,34.7,22.4,12.8,100.0,88.6,5.0,27.9,31.1,23.8,12.2,100.0,92.9,4.9,26.3,31.5,24.4,12.9
"세종특별자치시","성별",여자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,70.5,2.1,11.9,47.7,28.4,10.0,100.0,73.5,3.5,14.2,41.6,28.9,11.8,100.0,71.3,2.9,14.5,44.6,29.5,8.6,100.0,76.4,3.2,24.2,37.8,24.0,10.9,100.0,66.5,4.4,25.2,27.4,27.2,15.8,100.0,76.3,3.5,25.3,34.5,19.8,16.9
"경기도","전체",계,100.0,65.4,1.4,12.6,40.4,33.1,12.4,100.0,69.4,1.5,9.8,39.0,36.6,13.2,100.0,74.4,1.8,11.5,37.0,33.9,15.8,100.0,77.9,1.7,9.4,41.4,32.8,14.7,100.0,82.6,1.7,11.1,39.9,33.4,13.9,100.0,81.4,2.3,12.4,42.2,29.7,13.5,100.0,83.1,2.9,19.8,33.5,27.9,15.9,100.0,79.6,3.3,23.2,32.1,25.2,16.1,100.0,85.2,4.2,24.7,32.3,25.1,13.7
